query_index,query_id,rank,direction
0,flickr30k_0000,1,image_to_text
1,flickr30k_0001,1,image_to_text
2,flickr30k_0002,1,image_to_text
3,flickr30k_0003,1,image_to_text
4,flickr30k_0004,1,image_to_text
5,flickr30k_0005,1,image_to_text
0,flickr30k_0000_0,1,text_to_image
1,flickr30k_0000_1,1,text_to_image
2,flickr30k_0000_2,1,text_to_image
3,flickr30k_0000_3,1,text_to_image
4,flickr30k_0000_4,1,text_to_image
5,flickr30k_0001_0,1,text_to_image
6,flickr30k_0001_1,1,text_to_image
7,flickr30k_0001_2,1,text_to_image
8,flickr30k_0001_3,1,text_to_image
9,flickr30k_0001_4,1,text_to_image
10,flickr30k_0002_0,1,text_to_image
11,flickr30k_0002_1,1,text_to_image
12,flickr30k_0002_2,1,text_to_image
13,flickr30k_0002_3,1,text_to_image
14,flickr30k_0002_4,1,text_to_image
15,flickr30k_0003_0,1,text_to_image
16,flickr30k_0003_1,1,text_to_image
17,flickr30k_0003_2,1,text_to_image
18,flickr30k_0003_3,1,text_to_image
19,flickr30k_0003_4,1,text_to_image
20,flickr30k_0004_0,1,text_to_image
21,flickr30k_0004_1,1,text_to_image
22,flickr30k_0004_2,1,text_to_image
23,flickr30k_0004_3,1,text_to_image
24,flickr30k_0004_4,1,text_to_image
25,flickr30k_0005_0,1,text_to_image
26,flickr30k_0005_1,1,text_to_image
27,flickr30k_0005_2,1,text_to_image
28,flickr30k_0005_3,2,text_to_image
29,flickr30k_0005_4,2,text_to_image
